measures,8,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
36,36,40,43,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,36,40,43,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,36,40,43,10,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,36,40,43,10,90,95,
0,0,0,0,0,0,0,
43,0,0,0,80,0,25,
45,36,40,43,100,0,95,
0,0,0,0,0,0,0,
48,0,0,0,10,0,50,
0,36,40,43,10,90,95,
0,0,0,0,0,0,0,
48,0,0,0,10,0,25,
0,36,40,43,10,0,95,
0,0,0,0,0,0,0,
43,0,0,0,10,0,25,
45,36,40,43,10,90,95,
0,0,0,0,0,0,0,
48,0,0,0,80,0,25,
37,37,40,43,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,37,40,43,10,90,95,
0,0,0,0,0,0,0,
40,0,0,0,10,0,25,
0,37,40,43,10,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,37,40,43,10,90,95,
0,0,0,0,0,0,0,
43,0,0,0,80,0,25,
0,37,40,43,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,37,40,43,10,90,95,
0,0,0,0,0,0,0,
46,0,0,0,10,0,25,
0,37,40,43,10,0,95,
0,0,0,0,0,0,0,
45,0,0,0,10,0,25,
0,37,40,43,10,90,95,
0,0,0,0,0,0,0,
45,0,0,0,80,0,25,
38,38,41,48,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,38,41,48,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,38,41,48,10,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,38,41,48,10,90,95,
0,0,0,0,0,0,0,
45,0,0,0,80,0,25,
38,38,41,48,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,38,41,48,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
45,38,41,48,10,0,95,
0,0,0,0,0,0,0,
38,0,0,0,10,0,25,
45,38,41,48,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,80,0,25,
43,43,47,53,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
0,43,47,53,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,43,47,53,10,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
0,43,47,53,10,90,95,
0,0,0,0,0,0,0,
38,0,0,0,80,0,25,
43,43,47,53,100,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,50,
47,43,47,53,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
50,43,47,53,10,0,95,
0,0,0,0,0,0,0,
0,0,0,0,10,0,25,
53,43,47,53,10,90,95,
0,0,0,0,0,0,0,
0,0,0,0,80,0,25,
