measures,6,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
33,33,45,57,100,0,90,
0,35,47,59,0,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
0,45,57,69,0,90,90,
0,47,59,71,25,0,0,
0,48,60,72,0,0,90,
0,52,64,76,25,0,0,
33,33,45,57,100,0,90,
0,35,47,59,0,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
0,33,45,57,0,90,90,
0,35,47,59,25,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
33,33,45,57,100,0,90,
0,35,47,59,0,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
0,45,57,69,0,90,90,
0,47,59,71,25,0,0,
0,48,60,72,0,0,90,
0,52,64,76,25,0,0,
33,33,45,57,100,0,90,
0,35,47,59,0,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
0,33,45,57,0,90,90,
0,35,47,59,25,0,0,
0,36,48,60,0,0,90,
0,40,52,64,25,0,0,
29,29,41,53,100,0,90,
0,31,43,55,0,0,0,
0,33,45,57,0,0,90,
0,36,48,60,25,0,0,
0,41,53,65,0,90,90,
0,43,55,67,25,0,0,
0,45,57,69,0,0,90,
0,48,60,72,25,0,0,
31,31,43,55,100,0,90,
0,33,45,57,0,0,0,
0,35,47,59,0,0,90,
0,38,50,62,25,0,0,
0,43,55,67,0,90,90,
0,45,57,69,25,0,0,
0,47,59,71,0,0,90,
0,50,62,74,25,0,0,measures,1,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,40,,,,,
maxTempo,180,,,,,
swing,0,,,,,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
0,0,0,0,0,0,0,
