measures,6,,,,,
beats,4,,,,,
divisions,2,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
57,45,45,57,100,70,90,
0,52,52,64,10,70,80,
0,48,48,60,10,70,90,
0,47,47,59,25,70,80,
69,57,57,69,10,100,90,
0,64,64,76,25,70,80,
0,60,60,72,10,70,90,
0,59,59,71,25,70,80,
57,45,45,57,100,70,90,
0,52,52,64,10,70,80,
0,48,48,60,10,70,90,
0,47,47,59,25,70,80,
69,57,57,69,10,100,90,
0,64,64,76,25,70,80,
0,60,60,72,10,70,90,
0,59,59,71,25,70,80,
57,45,45,57,100,70,90,
0,52,52,64,10,70,80,
0,48,48,60,10,70,90,
0,47,47,59,25,70,80,
69,57,57,69,10,100,90,
0,64,64,76,25,70,80,
0,60,60,72,10,70,90,
0,59,59,71,25,70,80,
57,45,45,57,100,70,90,
0,52,52,64,10,70,80,
0,48,48,60,10,70,90,
0,47,47,59,25,70,80,
69,57,57,69,10,100,90,
0,64,64,76,25,70,80,
0,60,60,72,10,70,90,
0,59,54,71,25,70,80,
63,42,57,54,100,70,90,
0,45,61,57,10,70,80,
0,49,65,61,10,70,90,
0,53,67,65,25,70,80,
51,55,70,67,10,100,90,
0,58,74,70,25,70,80,
0,62,77,74,10,70,90,
0,65,52,77,25,70,80,
65,40,56,56,100,70,90,
0,44,59,59,10,70,80,
0,47,62,62,10,70,90,
0,50,64,64,25,70,80,
55,52,68,68,10,100,90,
0,56,71,71,25,70,80,
0,59,74,74,10,70,90,
0,62,0,78,25,70,80,
