measures,4,,,,,
beats,4,,,,,
divisions,3,,,,,
minTempo,1,,,,,
maxTempo,300,,,,,
swing,0,,,,,
43,40,64,67,100,0,90,
0,0,0,0,0,0,10,
0,47,64,67,0,90,50,
0,43,67,71,0,90,90,
0,0,0,0,0,90,10,
38,52,67,71,88,90,50,
0,43,69,72,0,90,90,
0,0,0,0,0,0,10,
43,47,62,65,93,0,50,
0,40,0,0,0,0,90,
0,0,0,0,0,0,10,
38,43,60,64,88,0,50,
41,38,0,0,91,0,90,
0,0,0,0,0,0,10,
0,45,60,64,0,90,50,
0,41,0,0,0,90,90,
0,0,0,0,0,90,10,
36,41,57,60,86,90,50,
0,55,60,64,0,90,90,
0,0,0,0,0,0,10,
41,45,57,60,91,0,50,
0,41,0,0,0,0,90,
0,0,0,0,0,0,10,
36,38,62,65,86,0,50,
43,40,60,64,100,0,90,
0,0,0,0,0,0,10,
0,47,0,0,0,90,50,
0,43,0,0,0,90,90,
0,0,0,0,0,90,10,
38,52,0,0,88,90,50,
0,43,0,0,0,90,90,
0,0,0,0,0,0,10,
43,47,0,0,93,0,50,
0,40,0,0,0,0,90,
0,0,0,0,0,0,10,
38,43,0,0,88,0,50,
41,38,0,0,91,0,90,
0,0,0,0,0,0,10,
0,45,0,0,0,90,50,
0,41,0,0,0,90,90,
0,0,0,0,0,90,10,
36,41,0,0,86,90,50,
0,55,0,0,0,90,90,
0,0,0,0,0,0,10,
41,45,0,0,91,0,50,
0,41,0,0,0,0,90,
0,0,0,0,0,0,10,
36,38,64,67,86,0,50,
